order_id,customer_id,product_id,order_date,quantity,unit_price,region
O00072,C0058,P028,2025-08-12,3,2644.48,South
O00073,C0067,P022,2026-04-30,1,7151.17,North
O00074,C0010,P006,2025-10-06,4,2715.73,North
O00075,C0061,P001,2026-06-29,1,5785.22,North
O00076,C0016,P034,2025-11-23,3,9504.96,West
O00077,C0001,P033,2025-06-25,3,6095.05,West
O00078,C0087,P031,2026-06-27,2,8284.05,East
O00079,C0007,P023,2025-09-15,2,6960.75,East
O00080,C0019,P006,2026-06-27,4,2758.76,North
O00081,C0002,P031,2025-08-23,3,6559.83,North
O00082,C0057,P002,2026-02-18,4,7517.19,East
O00083,C0012,P036,2026-04-07,2,3562.46,West
O00084,C0015,P015,2025-12-04,1,3493.39,West
O00085,C0078,P028,2025-08-05,1,2881.25,East
O00086,C0014,P029,2026-04-20,2,12285.54,West
O00087,C0004,P035,2025-05-15,3,3016.94,North
O00088,C0001,P012,2026-04-30,2,1918.25,South
O00089,C0065,P024,2026-03-11,3,1492.33,South
O00090,C0069,P038,2025-07-08,1,5133.84,West
O00091,C0087,P006,2025-05-04,4,2562.77,South
O00092,C0053,P014,2026-05-17,1,4971.51,North
O00093,C0106,P008,2025-07-12,3,997.5,West
O00094,C0096,P038,2026-01-19,4,5756.33,South
O00095,C0039,P025,2025-06-18,2,6439.18,South
O00096,C0012,P007,2025-09-14,2,1398.88,South
O00097,C0059,P025,2026-02-27,4,9666.06,East
O00098,C0072,P004,2025-04-21,3,7684.48,East
O00099,C0009,P025,2026-01-28,2,8548.73,North
O00100,C0114,P007,2025-12-21,2,1364.6,South
O00101,C0003,P001,2025-03-30,2,4605.83,East
O00102,C0110,P006,2026-04-09,4,3139.41,East
O00103,C0080,P021,2025-10-28,2,1612.53,West
O00104,C0038,P032,2025-09-01,2,4050.59,East
O00105,C0077,P005,2025-08-31,4,1874.03,South
O00106,C0049,P023,2025-12-30,4,8218.97,East
O00107,C0017,P033,2025-03-11,4,5869.26,East
O00108,C0084,P014,2025-05-18,4,4003.32,North
O00109,C0039,P016,2026-06-06,1,1377.7,South
O00110,C0015,P009,2026-02-03,1,1554.58,West
O00111,C0067,P035,2025-06-10,1,2671.6,West
O00112,C0016,P018,2025-11-28,4,8352.33,South
O00113,C0073,P020,2025-03-29,1,5612.92,West
O00114,C0080,P019,2026-01-28,4,7241.43,East
O00115,C0016,P040,2025-02-19,2,8414.49,South
O00116,C0023,P001,2026-03-26,2,4522.06,North
O00117,C0100,P013,2025-07-17,3,780.23,East
O00118,C0101,P023,2026-02-14,3,7651.38,East
O00119,C0033,P029,2026-02-17,4,9363.52,South
O00120,C0047,P011,2026-01-20,2,3084.6,South
O00121,C0018,P019,2025-08-19,4,7003.5,North
O00122,C0032,P038,2025-10-25,4,5770.81,South
O00123,C0070,P040,2026-06-27,1,9724.72,South
O00124,C0088,P033,2025-11-26,1,5652.86,South
O00125,C0019,P003,2025-09-26,3,9955.7,North
O00126,C0120,P004,2025-05-11,2,7677.46,East
O00127,C0027,P011,2025-11-23,2,2348.74,South
O00128,C0095,P002,2025-01-31,1,5256.69,North
O00129,C0081,P019,2025-08-20,1,8660.32,West
O00130,C0023,P036,2025-08-05,4,3487.43,North
O00131,C0090,P038,2025-10-21,2,5601.49,West
O00132,C0018,P036,2026-03-14,3,4298.65,West
O00133,C0077,P008,2025-01-27,4,1329.91,North
O00134,C0069,P020,2025-11-17,3,4754.19,North
O00135,C0008,P034,2025-01-18,4,12008.88,East
O00136,C0050,P005,2025-04-15,4,2425.05,East
O00137,C0061,P011,2025-02-09,3,2644.37,South
O00138,C0077,P014,2025-10-07,3,4896.75,North
O00139,C0011,P023,2025-02-03,4,9447.41,North
O00140,C0070,P035,2025-10-09,4,2771.29,East
O00141,C0045,P018,2025-10-19,2,7191.19,East
O00142,C0062,P013,2025-10-26,2,1115.12,East
O00143,C0055,P028,2025-02-28,2,3546.62,South
O00144,C0015,P029,2025-11-07,1,12169.95,West
O00145,C0110,P013,2025-03-24,3,844.15,East
O00146,C0054,P024,2026-05-08,3,1312.11,South
O00147,C0079,P009,2025-03-21,4,1758.0,South
O00148,C0027,P033,2025-10-05,1,5015.43,West
O00149,C0100,P026,2025-03-08,3,5818.02,East
O00150,C0006,P035,2025-12-29,4,3292.62,West
O00151,C0042,P025,2025-11-27,2,8329.45,East
O00152,C0011,P013,2026-03-16,4,969.67,South
O00153,C0117,P032,2025-11-24,2,2518.37,North
O00154,C0040,P033,2026-03-08,2,6932.04,East
O00155,C0008,P014,2026-03-29,2,4764.48,East
O00156,C0019,P012,2026-04-05,1,1567.21,West
O00157,C0085,P022,2025-08-29,4,8985.02,East
O00158,C0066,P024,2026-02-12,4,945.45,West
O00159,C0060,P030,2026-02-23,1,7507.15,East
O00160,C0053,P010,2025-07-21,1,9554.96,North
O00161,C0081,P021,2026-03-15,1,1766.36,South
O00162,C0116,P032,2025-12-09,4,2896.16,East
O00163,C0033,P037,2025-03-14,3,6603.73,North
O00164,C0119,P040,2026-05-06,4,7923.8,South
O00165,C0028,P037,2025-01-08,1,5662.62,East
O00166,C0028,P031,2025-08-18,2,6198.58,North
O00167,C0045,P002,2025-09-30,3,5393.89,North
O00168,C0116,P019,2025-01-19,2,8200.03,North
O00169,C0083,P005,2026-01-31,1,1665.72,North
O00170,C0075,P004,2025-01-18,3,5609.11,East
O00171,C0058,P016,2026-06-04,3,2055.48,South
O00172,C0073,P026,2025-06-06,2,6105.53,North
O00173,C0009,P007,2025-02-16,2,2078.6,North
O00174,C0055,P027,2026-03-26,4,7465.36,North
O00175,C0024,P012,2026-02-18,1,1302.51,South
O00176,C0048,P011,2025-03-05,4,2516.56,East
O00177,C0050,P006,2026-01-30,4,2117.32,South
O00178,C0021,P013,2025-02-10,3,1171.4,North
O00179,C0107,P038,2025-08-22,3,3773.09,East
O00180,C0040,P039,2026-03-06,2,9344.39,South
O00181,C0023,P039,2026-06-24,2,7463.3,East
O00182,C0019,P018,2025-06-26,2,6698.84,West
O00183,C0073,P003,2026-05-30,2,8465.63,North
O00184,C0116,P035,2025-02-17,2,3627.89,North
O00185,C0083,P004,2025-04-17,2,7613.66,North
O00186,C0069,P020,2026-02-01,4,6259.45,East
O00187,C0087,P026,2025-01-30,1,9008.42,East
O00188,C0006,P029,2025-04-25,3,8597.87,South
O00189,C0029,P010,2025-07-12,1,7519.79,East
O00190,C0057,P023,2026-05-20,2,9289.57,West
O00191,C0115,P019,2026-02-08,3,9550.46,East
O00192,C0065,P035,2025-04-13,1,2591.24,East
O00193,C0087,P015,2025-07-17,3,3126.36,North
O00194,C0017,P017,2026-01-27,2,10105.7,East
O00195,C0073,P038,2025-12-17,4,6030.27,West
O00196,C0112,P034,2026-01-03,2,8853.94,West
O00197,C0012,P017,2025-04-16,1,9458.28,East
O00198,C0119,P033,2025-12-18,2,5089.64,South
O00199,C0063,P014,2026-02-20,1,4888.05,East
O00200,C0067,P038,2025-02-10,2,6023.52,East
O00201,C0118,P031,2025-09-22,2,7918.91,East
O00202,C0030,P009,2025-07-19,3,1423.98,South
O00203,C0096,P021,2025-07-14,3,1792.52,West
O00204,C0115,P027,2026-05-05,2,5041.61,North
O00205,C0036,P017,2025-05-27,3,7639.87,West
O00206,C0073,P032,2026-02-12,3,2580.26,North
O00207,C0111,P030,2025-01-14,2,9607.32,West
O00208,C0101,P033,2026-04-15,1,5758.06,North
O00209,C0082,P020,2025-06-09,1,4903.85,North
O00210,C0107,P024,2025-07-29,4,1358.08,North
O00211,C0047,P032,2025-08-08,3,3518.36,East
O00212,C0119,P007,2026-04-05,3,1958.67,South
O00213,C0009,P021,2025-11-13,4,2041.08,West
O00214,C0116,P022,2025-03-22,1,8263.91,East
O00215,C0059,P002,2026-05-16,3,6670.79,North
O00216,C0085,P010,2026-04-19,2,10676.67,North
O00217,C0073,P002,2026-06-05,4,5951.0,East
O00218,C0029,P006,2025-01-15,2,2197.24,South
O00219,C0115,P028,2025-03-10,2,3026.08,West
O00220,C0038,P008,2025-04-27,3,1257.06,West
O00221,C0106,P024,2025-09-06,1,946.3,West
O00222,C0004,P023,2025-09-01,2,9658.51,South
O00223,C0087,P014,2026-03-18,3,3554.2,West
O00224,C0076,P038,2026-06-17,3,5706.09,South
O00225,C0029,P005,2025-10-05,3,2534.56,North
O00226,C0047,P001,2025-07-06,3,5899.82,East
O00227,C0049,P007,2025-06-23,3,1468.27,South
O00228,C0009,P019,2026-04-24,2,6632.54,North
O00229,C0079,P030,2025-05-21,3,8463.11,South
O00230,C0087,P017,2026-05-23,1,9572.54,North
O00231,C0105,P019,2026-06-21,4,6707.41,North
O00232,C0061,P027,2026-01-22,3,5905.82,South
O00233,C0092,P020,2026-03-14,2,6366.69,West
O00234,C0017,P004,2026-03-06,3,6557.13,South
O00235,C0057,P001,2026-06-10,4,4706.54,East
O00236,C0022,P008,2025-11-04,3,1147.98,West
O00237,C0031,P034,2025-04-08,3,11227.44,East
O00238,C0042,P009,2025-06-05,1,2087.36,West
O00239,C0016,P017,2025-05-11,1,7152.17,East
O00240,C0074,P023,2025-11-29,1,9101.78,West
O00241,C0042,P007,2026-03-25,4,1821.83,South
O00242,C0002,P015,2025-11-13,1,2467.49,West
O00243,C0065,P010,2025-01-29,2,7339.16,West
O00244,C0079,P020,2026-05-06,3,4164.28,South
O00245,C0008,P007,2025-05-01,3,2143.98,West
O00246,C0063,P018,2025-04-28,4,5322.29,North
O00247,C0086,P011,2025-11-11,2,3332.17,West
O00248,C0084,P024,2025-04-20,4,1085.6,West
O00249,C0090,P032,2025-03-10,2,3491.89,South
O00250,C0050,P031,2025-08-30,3,8871.21,East
O00251,C0021,P018,2025-06-13,4,6506.95,East
O00252,C0086,P003,2026-05-28,2,9931.91,North
O00253,C0111,P032,2025-02-16,2,3533.77,East
O00254,C0034,P024,2026-06-20,3,1106.81,West
O00255,C0109,P018,2025-06-15,2,6400.82,East
O00256,C0013,P013,2025-02-22,3,1099.71,East
O00257,C0011,P017,2026-03-07,3,9761.18,North
O00258,C0083,P019,2025-03-04,2,7220.55,West
O00259,C0064,P001,2025-05-29,3,6009.65,West
O00260,C0040,P029,2025-12-25,2,9224.17,North
O00261,C0095,P014,2025-12-21,2,5507.4,West
O00262,C0072,P040,2025-07-05,2,8624.6,West
O00263,C0070,P010,2026-02-10,3,8528.96,West
O00264,C0058,P025,2026-04-07,3,6386.38,West
O00265,C0001,P026,2026-04-11,3,6144.91,East
O00266,C0074,P021,2025-01-04,2,1700.36,North
O00267,C0077,P007,2026-01-30,3,2042.82,West
O00268,C0099,P006,2025-11-22,2,2652.92,South
O00269,C0052,P023,2025-08-27,3,7394.0,North
O00270,C0024,P003,2026-06-15,1,6492.15,South
O00271,C0105,P034,2025-10-17,4,11957.16,North
O00272,C0078,P028,2025-04-21,2,2432.27,North
O00273,C0112,P023,2025-12-14,2,7693.59,South
O00274,C0034,P025,2026-05-16,3,6789.11,East
O00275,C0002,P032,2025-08-31,3,2871.97,North
O00276,C0009,P039,2026-03-25,1,7324.27,North
O00277,C0056,P014,2025-03-19,4,4188.58,West
O00278,C0034,P003,2025-07-03,3,8170.48,South
O00279,C0118,P012,2025-04-28,3,1675.4,South
O00280,C0032,P040,2026-01-26,4,8175.36,South
O00281,C0088,P021,2026-02-24,1,2219.18,East
O00282,C0107,P037,2025-03-16,2,4528.22,North
O00283,C0062,P012,2025-08-22,3,1633.17,North
O00284,C0029,P003,2025-03-30,3,7247.96,North
O00285,C0058,P007,2026-06-28,3,1693.64,South
O00286,C0095,P027,2025-10-11,1,7101.95,West
O00287,C0104,P035,2025-01-06,2,3292.17,South
O00288,C0044,P036,2025-05-14,2,4520.15,South
O00289,C0116,P017,2025-09-08,1,7413.42,North
O00290,C0024,P024,2026-04-10,4,1437.27,West
O00291,C0092,P006,2025-01-27,1,2259.19,North
O00292,C0116,P025,2026-03-28,2,9818.94,South
O00293,C0070,P021,2025-07-12,2,1656.06,East
O00294,C0110,P007,2025-06-10,3,1473.09,South
O00295,C0120,P019,2025-09-26,1,8545.66,East
O00296,C0044,P021,2025-11-12,1,1947.16,West
O00297,C0018,P006,2026-01-18,2,2885.68,South
O00298,C0090,P028,2025-05-26,2,2992.64,South
O00299,C0039,P015,2025-07-03,2,2811.39,South
O00300,C0067,P028,2025-05-31,1,3552.39,East
O00301,C0109,P011,2025-12-02,2,3145.61,East
O00302,C0098,P040,2025-02-01,1,9506.56,South
O00303,C0049,P036,2025-05-31,4,3693.32,East
O00304,C0078,P027,2025-10-09,3,5058.37,North
O00305,C0112,P010,2025-11-07,1,8437.8,South
O00306,C0005,P013,2025-11-17,1,726.67,North
O00307,C0029,P006,2026-02-12,3,2361.82,East
O00308,C0070,P032,2025-08-15,1,3292.55,South
O00309,C0118,P030,2026-01-09,2,7763.45,North
O00310,C0088,P018,2025-11-27,1,7187.07,East
O00311,C0084,P016,2025-05-17,2,2233.36,West
O00312,C0004,P003,2025-09-29,2,8536.69,North
O00313,C0032,P024,2026-02-15,3,943.36,West
O00314,C0104,P012,2025-10-05,4,1877.66,West
O00315,C0106,P026,2025-11-26,2,6989.21,North
O00316,C0052,P031,2025-05-28,3,7813.5,South
O00317,C0120,P020,2025-06-05,2,6537.04,West
O00318,C0026,P020,2026-06-14,3,4519.89,North
O00319,C0067,P031,2026-03-30,2,8146.05,South
O00320,C0072,P024,2026-05-11,4,1295.42,North
O00321,C0058,P003,2025-11-14,2,9462.74,East
O00322,C0049,P002,2026-05-02,1,7884.98,West
O00323,C0036,P032,2025-11-19,2,3833.83,East
O00324,C0078,P001,2025-07-07,4,5538.9,East
O00325,C0104,P001,2025-10-10,4,4425.1,South
O00326,C0084,P033,2025-11-13,3,6767.64,South
O00327,C0070,P011,2026-03-09,4,2507.63,North
O00328,C0083,P023,2025-09-10,2,8887.02,North
O00329,C0094,P012,2025-06-10,1,1493.92,East
O00330,C0014,P037,2026-04-14,1,4777.98,North
O00331,C0007,P001,2025-09-24,3,5403.92,North
O00332,C0015,P002,2025-05-17,2,5691.71,East
O00333,C0043,P018,2026-01-12,2,5141.76,East
O00334,C0001,P026,2026-03-18,2,6819.71,North
O00335,C0089,P007,2025-06-30,4,1324.87,East
O00336,C0038,P027,2026-02-15,1,6761.5,South
O00337,C0052,P036,2025-01-26,1,4278.82,South
O00338,C0014,P037,2026-01-12,4,6744.65,West
O00339,C0029,P002,2026-06-03,3,6062.4,North
O00340,C0027,P031,2025-03-06,1,7630.47,West
O00341,C0066,P013,2025-10-28,1,911.28,East
O00342,C0080,P009,2025-04-11,2,1958.67,North
O00343,C0056,P004,2025-09-02,4,7744.03,North
O00344,C0095,P011,2025-09-21,3,2114.05,East
O00345,C0004,P028,2025-01-13,3,3612.83,North
O00346,C0083,P033,2025-07-08,3,5777.24,South
O00347,C0042,P022,2025-08-26,4,9805.35,West
O00348,C0066,P033,2025-04-23,3,5036.96,South
O00349,C0024,P022,2025-03-09,3,8919.83,North
O00350,C0009,P027,2025-12-18,4,4730.2,West
O00351,C0009,P008,2025-06-20,4,1217.08,East
O00352,C0027,P019,2026-04-02,1,6607.87,North
O00353,C0106,P023,2026-04-12,4,9172.31,East
O00354,C0099,P040,2026-03-11,1,6634.25,East
O00355,C0107,P024,2025-02-11,1,1345.85,South
O00356,C0084,P024,2025-03-13,3,1486.06,North
O00357,C0052,P017,2025-04-19,3,7506.19,North
O00358,C0055,P006,2025-10-20,4,2740.62,South
O00359,C0105,P025,2026-03-27,4,9060.88,North
O00360,C0118,P017,2026-01-07,3,7620.8,East
O00361,C0054,P003,2025-11-08,2,7913.43,North
O00362,C0116,P032,2026-03-08,3,3977.85,South
O00363,C0120,P011,2025-08-03,1,3333.74,West
O00364,C0068,P039,2026-04-24,1,8901.01,North
O00365,C0009,P036,2025-03-09,1,4856.39,South
O00366,C0039,P040,2025-03-12,4,8208.72,East
O00367,C0041,P011,2026-03-13,2,2644.3,South
O00368,C0091,P039,2025-01-16,1,10528.93,West
O00369,C0025,P028,2025-02-12,1,2499.47,East
O00370,C0070,P033,2026-06-02,4,6322.77,West
O00371,C0056,P007,2026-05-07,3,1402.67,North
O00372,C0036,P025,2025-09-06,1,8406.31,North
O00373,C0009,P019,2025-04-12,3,6774.36,South
O00374,C0048,P031,2025-08-27,4,8411.19,South
O00375,C0074,P038,2025-02-01,3,4916.28,West
O00376,C0025,P023,2025-11-02,1,7498.35,South
O00377,C0073,P024,2025-05-08,1,1141.12,North
O00378,C0011,P017,2025-09-05,3,9740.17,West
O00379,C0045,P019,2025-09-02,4,9343.07,North
O00380,C0068,P011,2026-05-09,4,2107.8,West
O00381,C0084,P028,2025-10-29,1,3236.21,North
O00382,C0028,P026,2025-08-15,1,8712.24,West
O00383,C0102,P028,2026-03-09,4,3164.25,West
O00384,C0011,P008,2025-09-05,4,1036.26,West
O00385,C0118,P039,2025-03-26,3,6432.02,East
O00386,C0098,P011,2025-06-28,2,2906.85,West
O00387,C0085,P024,2026-02-03,4,1014.5,West
O00388,C0015,P013,2025-08-09,3,882.15,West
O00389,C0067,P002,2025-07-29,3,5887.74,North
O00390,C0090,P010,2025-12-31,1,10060.04,West
O00391,C0044,P005,2025-08-26,4,2412.19,North
O00392,C0007,P032,2025-02-09,3,3257.91,West
O00393,C0041,P006,2025-04-25,4,2298.98,North
O00394,C0042,P038,2025-04-08,3,5350.33,West
O00395,C0113,P024,2025-10-25,3,1171.15,West
O00396,C0004,P016,2026-04-27,3,1839.81,East
O00397,C0106,P033,2026-02-04,4,5766.54,East
O00398,C0061,P005,2026-06-02,3,2274.84,West
O00399,C0027,P002,2025-02-20,3,4899.58,North
O00400,C0077,P012,2025-09-04,3,1898.07,West
O00401,C0026,P001,2025-08-12,4,4965.61,North
O00402,C0077,P012,2026-06-01,3,1663.58,South
O00403,C0089,P013,2025-05-28,4,867.54,South
O00404,C0074,P012,2026-04-22,3,1905.93,North
O00405,C0080,P036,2025-08-17,2,4582.91,East
O00406,C0071,P018,2026-02-04,2,8338.88,South
O00407,C0003,P036,2026-04-05,2,4430.13,West
O00408,C0084,P040,2025-01-17,2,9225.49,East
O00409,C0017,P032,2026-04-11,1,3216.08,East
O00410,C0019,P021,2026-04-30,3,1532.45,North
O00411,C0095,P026,2025-10-01,3,6083.27,East
O00412,C0038,P027,2026-05-22,4,4797.53,West
O00413,C0104,P023,2025-12-23,1,6591.27,South
O00414,C0058,P027,2025-03-11,4,4670.24,West
O00415,C0004,P016,2025-06-14,3,1558.52,North
O00416,C0053,P006,2025-01-28,2,2916.07,East
O00417,C0082,P032,2026-02-19,4,4190.84,West
O00418,C0032,P024,2025-02-24,3,1505.52,South
O00419,C0017,P015,2025-03-24,4,3095.64,South
O00420,C0095,P027,2026-04-18,3,5712.79,South
O00421,C0098,P021,2025-06-24,4,1749.75,East
O00422,C0079,P016,2025-02-12,4,2253.07,North
O00423,C0035,P010,2025-06-26,1,9117.63,South
O00424,C0062,P007,2025-04-15,2,1489.45,East
O00425,C0069,P039,2025-08-14,4,7391.09,West
O00426,C0008,P040,2025-09-06,4,6059.08,West
O00427,C0041,P040,2025-11-19,3,6977.76,South
O00428,C0086,P029,2025-12-20,2,9173.16,South
O00429,C0024,P020,2025-01-01,2,4714.96,West
O00430,C0027,P027,2026-06-20,2,7525.86,West
O00431,C0019,P038,2026-03-09,2,5645.66,South
O00432,C0002,P003,2025-01-13,3,6422.09,East
O00433,C0068,P009,2025-07-27,2,1956.35,East
O00434,C0030,P023,2026-06-18,4,7974.01,South
O00435,C0026,P014,2025-05-04,1,3596.59,North
O00436,C0115,P013,2026-05-27,3,994.64,North
O00437,C0079,P024,2025-08-13,1,1391.03,North
O00438,C0048,P033,2025-05-31,1,6095.85,East
O00439,C0108,P002,2025-03-20,4,4821.3,East
O00440,C0094,P023,2026-01-10,1,7436.09,South
O00441,C0101,P015,2026-05-07,2,2284.0,East
O00442,C0043,P034,2025-05-29,3,7201.93,South
O00443,C0023,P029,2025-01-13,3,11177.05,West
O00444,C0057,P035,2026-04-29,2,4024.57,West
O00445,C0012,P005,2025-06-28,3,1876.22,North
O00446,C0083,P034,2025-03-31,3,10386.21,South
O00447,C0055,P027,2025-10-19,3,6042.39,East
O00448,C0086,P027,2025-03-02,2,5954.11,North
O00449,C0057,P004,2026-05-20,1,7144.59,East
O00450,C0044,P009,2025-12-25,2,1676.74,North
O00451,C0078,P020,2025-05-08,3,4762.44,West
O00452,C0077,P038,2025-11-17,1,4544.38,North
O00453,C0002,P002,2026-02-27,3,7499.64,East
O00454,C0083,P032,2026-04-07,1,3061.06,South
O00455,C0054,P033,2025-07-16,1,4632.46,East
O00456,C0025,P005,2025-03-13,1,2101.23,North
O00457,C0020,P013,2026-01-13,4,885.33,West
O00458,C0012,P023,2026-05-24,1,6552.66,South
O00459,C0031,P040,2025-11-10,2,8599.18,North
O00460,C0084,P003,2025-07-27,1,7339.34,South
O00461,C0116,P015,2025-05-12,2,2986.38,West
O00462,C0078,P012,2025-03-17,3,1196.11,North
O00463,C0066,P015,2025-05-02,1,2303.83,South
O00464,C0044,P032,2026-04-13,1,3645.88,North
O00465,C0045,P033,2025-09-19,1,4363.4,South
O00466,C0029,P006,2025-08-18,2,2212.99,North
O00467,C0104,P016,2026-04-01,2,2126.21,West
O00468,C0039,P005,2025-05-08,1,1853.94,East
O00469,C0040,P025,2026-02-28,3,6617.08,South
O00470,C0026,P007,2025-12-29,3,1704.66,North
O00471,C0025,P037,2025-11-25,3,4498.22,East
O00472,C0033,P010,2025-05-10,4,6628.27,West
O00473,C0035,P005,2025-02-26,4,2112.0,South
O00474,C0077,P014,2026-05-18,4,4382.22,South
O00475,C0058,P002,2026-03-22,2,6403.07,North
O00476,C0107,P023,2025-12-09,1,8138.14,East
O00477,C0003,P022,2025-06-13,1,8228.07,West
O00478,C0040,P029,2026-06-22,2,9023.45,East
O00479,C0031,P016,2025-02-03,1,1957.0,West
O00480,C0087,P027,2025-08-07,1,7490.02,East
O00481,C0063,P021,2025-06-11,3,2051.2,East
O00482,C0098,P002,2025-07-17,1,5292.48,South
O00483,C0087,P023,2025-12-08,4,9035.55,East
O00484,C0067,P024,2025-07-09,1,1361.51,North
O00485,C0104,P018,2025-06-04,3,8142.81,North
O00486,C0007,P024,2025-07-02,1,1168.92,South
O00487,C0104,P015,2025-04-22,3,2542.95,West
O00488,C0085,P023,2025-12-04,1,6717.56,West
O00489,C0112,P028,2026-01-06,4,3490.38,North
O00490,C0106,P040,2026-01-12,1,7432.04,South
O00491,C0074,P040,2026-04-28,3,7148.87,North
O00492,C0069,P040,2026-03-27,3,6965.43,East
O00493,C0029,P028,2025-09-23,4,2625.95,West
O00494,C0050,P038,2026-01-03,3,5539.37,West
O00495,C0065,P021,2025-10-29,3,1899.1,East
O00496,C0043,P028,2025-03-09,3,3261.97,East
O00497,C0045,P004,2025-05-13,3,6580.38,South
O00498,C0118,P031,2025-12-17,4,6977.87,North
O00499,C0007,P024,2026-02-12,4,1220.32,East
O00500,C0010,P040,2025-03-15,1,6303.93,East
O00501,C0069,P005,2026-04-05,2,2375.09,West
O00502,C0053,P002,2025-11-28,4,6529.38,West
O00503,C0099,P015,2025-10-30,3,2949.23,West
O00504,C0016,P026,2026-03-05,2,5801.66,West
O00505,C0100,P002,2025-10-04,2,6160.9,North
O00506,C0058,P010,2026-04-24,4,10014.92,North
O00507,C0014,P010,2025-08-13,4,10898.1,West
O00508,C0082,P015,2025-09-17,2,3199.95,North
O00509,C0006,P001,2025-04-30,3,6129.2,East
O00510,C0028,P025,2026-05-31,4,7264.27,East
O00511,C0065,P024,2025-02-24,3,1351.15,East
O00512,C0040,P001,2025-09-08,1,5886.19,South
O00513,C0022,P025,2025-10-03,4,8893.15,East
O00514,C0079,P011,2025-05-22,4,2500.68,South
O00515,C0091,P006,2026-02-18,4,2313.33,West
O00516,C0013,P016,2025-12-02,4,1533.46,South
